teamNum,teamName,portcullis,chevyX,moat,ramparts,drawBridge,sallyPort,rockWall,roughTerrain,lowBar,shotblock,pickup,highshot,lowshot,topSpeed,climb,aApproach,aCross,aShootLow,aShootHigh,challenge,aportcullis,achevyX,amoat,aramparts,adrawBridge,asallyPort,arockWall,aroughTerrain,alowBar,role
13,DrBSalpt,0,0,300.99,300.99,500.99,500.99,400.99,400.99,0,0.6,300.9,0,300.9,500.9,700.9,0.99,0.6,0.7,0.5,100.99,0,0,0,0,600.99,700.99,0,0,0,DEFENDER
16,Low bar A,300.9,300.9,200.99,200.99,0,0,200.99,200.99,100.9,0.6,200.9,0,200.9,700.9,400.9,0.99,0.6,0.7,0.5,100.99,500.9,500.9,0,300.9,0,0,400.8,0,300.8,DEFENSEBREAKER
17,Hi-Shot-C,0,0,300.7,300.99,600.7,700.7,400.99,400.99,0,0.5,200.9,400.4,200.8,400.99,800.4,0.99,0.6,0.7,0.5,100.99,0,0,0,0,0,0,0,0,0,SHOOTER
21,PCDrBSP,400.9,500.9,300.99,300.99,500.99,500.99,300.99,300.99,0,0.6,300.9,0,300.8,500.9,700.9,0.99,0.6,0.7,0.5,100.99,500.9,600.7,0,400.8,700.8,900.8,400.8,500.8,0,DEFENDER
22,none,0,0,0,0,0,0,0,0,0,0.6,0,0,0,200.9,0,0.99,0.6,0.7,0.5,100.99,0,0,0,0,0,0,0,0,0,DEFENSEBREAKER
23,Lo-shot-B,700.9,700.7,0,0,0,0,0,0,0,0.4,300.9,0,200.75,600.99,0,0.99,0.6,0.7,0.5,100.99,400.8,400.7,300.9,300.9,0,0,300.8,300.8,0,SHOOTER
27,low,0,0,0,500.9,0,0,500.9,500.9,200.99,0.6,300.8,0,400.9,700.9,800.8,0.99,0.7,0.6,0.5,100.99,0,0,0,500.8,0,0,400.8,500.8,300.9,DEFENDER
30,Hi-Shot-A,400.9,400.9,300.99,200.99,0,0,200.99,200.99,0,0.5,100.9,200.9,100.95,900.99,400.9,0.99,0.6,0.7,0.5,100.99,400.8,400.7,200.9,200.9,0,0,200.8,200.8,100.8,DEFENSEBREAKER
31,LoLoB,0,0,400.99,400.99,0,0,500.9,500.9,300.99,0.6,300.9,0,300.9,500.9,700.8,0.99,0.6,0.6,0.5,100.99,0,0,400.6,402.8,0,0,402.8,402.8,302.9,SHOOTER
33,Manipul,504.9,604.9,401.99,402.99,602.9,603.8,401.89,402.9,0,0.6,300.8,0,300.9,500.9,700.9,0.99,0.6,0.6,0.5,100.99,602.8,802.6,400.8,402.8,703.6,704.7,500.8,500.8,0,DEFENDER
37,almost o,0,0,0,403.7,0,0,502.7,502.7,0,0.6,0,0,500.6,300.9,0,0.99,0.6,0.6,0.5,100.99,0,0,0,0,0,0,0,0,0,DEFENSEBREAKER
45,HiShotB,0,0,301.99,200.8,0,0,301.8,202.8,0,0.6,200.9,500.8,300.8,500.9,800.9,0.99,0.6,0.6,0.5,100.99,0,0,502.8,401.8,0,0,502.8,502.8,0,SHOOTER
52,LoShotC,0,0,502.8,301.8,0,0,301.8,301.8,0,0.6,300.9,0,502.8,400.9,0,0.99,0.6,0.6,0.5,100.99,0,0,0,0,0,0,0,0,0,DEFENDER
57,None2,0,0,0,0,0,0,0,0,0,0.6,0,0,0,200.9,0,0.99,0.6,0.6,0.5,100.99,0,0,0,0,0,0,0,0,0,DEFENSEBREAKER
